imageURNList	folioURN
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058a_0436-corr	urn:cite:botcar:CatesbyHS212.058a
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453	urn:cite:botcar:CatesbyHS212.058b
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453-corr	urn:cite:botcar:CatesbyHS212.058b
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_059_0446	urn:cite:botcar:CatesbyHS212.059
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445	urn:cite:botcar:CatesbyHS212.060
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445-corr	urn:cite:botcar:CatesbyHS212.060
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444	urn:cite:botcar:CatesbyHS212.061
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444-corr	urn:cite:botcar:CatesbyHS212.061
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452	urn:cite:botcar:CatesbyHS212.062
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452-corr	urn:cite:botcar:CatesbyHS212.062
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451	urn:cite:botcar:CatesbyHS212.063
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451-corr	urn:cite:botcar:CatesbyHS212.063
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442	urn:cite:botcar:CatesbyHS212.064
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442-corr	urn:cite:botcar:CatesbyHS212.064
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441	urn:cite:botcar:CatesbyHS212.065
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441-corr	urn:cite:botcar:CatesbyHS212.065
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440	urn:cite:botcar:CatesbyHS212.066
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440-corr	urn:cite:botcar:CatesbyHS212.066
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450	urn:cite:botcar:CatesbyHS212.067
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450-corr	urn:cite:botcar:CatesbyHS212.067
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_068_0449	urn:cite:botcar:CatesbyHS212.068
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_068_0449-corr	urn:cite:botcar:CatesbyHS212.068
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0438	urn:cite:botcar:CatesbyHS212.069
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0439	urn:cite:botcar:CatesbyHS212.069
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0439-corr	urn:cite:botcar:CatesbyHS212.069
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_070_0443	urn:cite:botcar:CatesbyHS212.070
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_070_0443-corr	urn:cite:botcar:CatesbyHS212.070
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_071_0447	urn:cite:botcar:CatesbyHS212.071
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_071_0448	urn:cite:botcar:CatesbyHS212.071
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_071_0448-corr	urn:cite:botcar:CatesbyHS212.071
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_072_0428	urn:cite:botcar:CatesbyHS212.072
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_072_0428-corr	urn:cite:botcar:CatesbyHS212.072
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_073_0435	urn:cite:botcar:CatesbyHS212.073
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_073_0435-corr	urn:cite:botcar:CatesbyHS212.073
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434	urn:cite:botcar:CatesbyHS212.074
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434-corr	urn:cite:botcar:CatesbyHS212.074
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427	urn:cite:botcar:CatesbyHS212.075
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427-corr	urn:cite:botcar:CatesbyHS212.075
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_076_0426	urn:cite:botcar:CatesbyHS212.076
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_076_0426-corr	urn:cite:botcar:CatesbyHS212.076
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425	urn:cite:botcar:CatesbyHS212.077
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425-corr	urn:cite:botcar:CatesbyHS212.077
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433	urn:cite:botcar:CatesbyHS212.078
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433-corr	urn:cite:botcar:CatesbyHS212.078
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432	urn:cite:botcar:CatesbyHS212.079
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432-corr	urn:cite:botcar:CatesbyHS212.079
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431	urn:cite:botcar:CatesbyHS212.080
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431-corr	urn:cite:botcar:CatesbyHS212.080
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424	urn:cite:botcar:CatesbyHS212.081
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424-corr	urn:cite:botcar:CatesbyHS212.081
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_082_0423	urn:cite:botcar:CatesbyHS212.082
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_082_0423-corr	urn:cite:botcar:CatesbyHS212.082
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430	urn:cite:botcar:CatesbyHS212.083
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430-corr	urn:cite:botcar:CatesbyHS212.083
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_084_0429	urn:cite:botcar:CatesbyHS212.084
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_084_0429-corr	urn:cite:botcar:CatesbyHS212.084
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_085_0420	urn:cite:botcar:CatesbyHS212.085
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_085_0420-corr	urn:cite:botcar:CatesbyHS212.085
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_086_0422	urn:cite:botcar:CatesbyHS212.086
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_086_0422-corr	urn:cite:botcar:CatesbyHS212.086
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417	urn:cite:botcar:CatesbyHS212.087
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417-corr	urn:cite:botcar:CatesbyHS212.087
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419	urn:cite:botcar:CatesbyHS212.088
