labelURN	imageURN
urn:cite:botcar:catesbyLabels.penLabel231.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_089_0568
urn:cite:botcar:catesbyLabels.penLabel21.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_036_0622
urn:cite:botcar:catesbyLabels.penLabel409.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480
urn:cite:botcar:catesbyLabels.penLabel238.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501
urn:cite:botcar:catesbyLabels.penLabel364.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414
urn:cite:botcar:catesbyLabels.penLabel262.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497
urn:cite:botcar:catesbyLabels.penLabel347.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_074_0580
urn:cite:botcar:catesbyLabels.penLabel280.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_106_0546
urn:cite:botcar:catesbyLabels.penLabel117.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509
urn:cite:botcar:catesbyLabels.penLabel243.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432
urn:cite:botcar:catesbyLabels.penLabel389.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431
urn:cite:botcar:catesbyLabels.penLabel211.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504
urn:cite:botcar:catesbyLabels.penLabel224.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487
urn:cite:botcar:catesbyLabels.penLabel73.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485
urn:cite:botcar:catesbyLabels.penLabel35.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499
urn:cite:botcar:catesbyLabels.penLabel392.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491
urn:cite:botcar:catesbyLabels.penLabel251.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470
urn:cite:botcar:catesbyLabels.penLabel161.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_136_0522
urn:cite:botcar:catesbyLabels.penLabel406.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491
urn:cite:botcar:catesbyLabels.penLabel151.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_067_0591
urn:cite:botcar:catesbyLabels.penLabel8.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642
urn:cite:botcar:catesbyLabels.penLabel391.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503
urn:cite:botcar:catesbyLabels.penLabel268.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_088_0566
urn:cite:botcar:catesbyLabels.penLabel131.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_039_0616
urn:cite:botcar:catesbyLabels.penLabel258.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464
urn:cite:botcar:catesbyLabels.penLabel75.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485
