urn:cite:botcar:genus.Liquidambar	urn:cite:botcar:family.Altingiaceae
urn:cite:botcar:genus.Liriodendron	urn:cite:botcar:family.Magnoliaceae
urn:cite:botcar:genus.Lithospermum	urn:cite:botcar:family.Boraginaceae
urn:cite:botcar:genus.Litsea	urn:cite:botcar:family.Lauraceae
urn:cite:botcar:genus.Lobelia	urn:cite:botcar:family.Campanulaceae
urn:cite:botcar:genus.Ludwigia	urn:cite:botcar:family.Onagraceae
urn:cite:botcar:genus.Lupinus	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Lycopodiella	urn:cite:botcar:family.Lycopodiaceae
urn:cite:botcar:genus.Lycopus	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Lyonia	urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Lysimachia	urn:cite:botcar:family.Primulaceae
urn:cite:botcar:genus.Maianthemum	urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Marshallia	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Matelea	urn:cite:botcar:family.Apocynaceae
urn:cite:botcar:genus.Medeola	urn:cite:botcar:family.Liliaceae
urn:cite:botcar:genus.Melanthium	urn:cite:botcar:family.Melanthiaceae
urn:cite:botcar:genus.Melothria	urn:cite:botcar:family.Cucurbitaceae
urn:cite:botcar:genus.Menispermum	urn:cite:botcar:family.Menispermaceae
urn:cite:botcar:genus.Metopium	urn:cite:botcar:family.Anacardiaceae
urn:cite:botcar:genus.Mimosa	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Monarda	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Morus	urn:cite:botcar:family.Moraceae
urn:cite:botcar:genus.Narcissus	urn:cite:botcar:family.Amaryllidaceae
urn:cite:botcar:genus.Nasturtium	urn:cite:botcar:family.Brassicaceae
urn:cite:botcar:genus.Nolina	urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Nymphaea	urn:cite:botcar:family.Nymphaeaceae
urn:cite:botcar:genus.Nyssa	urn:cite:botcar:family.Nyssaceae
urn:cite:botcar:genus.Oenothera	urn:cite:botcar:family.Onagraceae
urn:cite:botcar:genus.Onosmodium	urn:cite:botcar:family.Boraginaceae
urn:cite:botcar:genus.Orbexilum	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Osmanthus	urn:cite:botcar:family.Oleaceae
urn:cite:botcar:genus.Osmorhiza	urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Osmunda	urn:cite:botcar:family.Osmundaceae
urn:cite:botcar:genus.Ostrya	urn:cite:botcar:family.Betulaceae
urn:cite:botcar:genus.Oxydendrum	urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Paspalum	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Pedicularis	urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Pediomelum	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Persea	urn:cite:botcar:family.Lauraceae
urn:cite:botcar:genus.Persicaria	urn:cite:botcar:family.Polygonaceae
urn:cite:botcar:genus.Phalaris	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Phaseolus	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Phegopteris	urn:cite:botcar:family.Thelypteridaceae
urn:cite:botcar:genus.Philadelphus	urn:cite:botcar:family.Hydrangeaceae
urn:cite:botcar:genus.Phleum	urn:cite:botcar:family.Gramineae
urn:cite:botcar:genus.Phlox	urn:cite:botcar:family.Polemoniaceae
urn:cite:botcar:genus.Phyla	urn:cite:botcar:family.Verbenaceae
urn:cite:botcar:genus.Physalis	urn:cite:botcar:family.Solanaceae
urn:cite:botcar:genus.Physostegia	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Pityopsis	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Platanthera	urn:cite:botcar:family.Orchidaceae
urn:cite:botcar:genus.Platanus	urn:cite:botcar:family.Platanaceae
urn:cite:botcar:genus.Pluchea	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Podophyllum	urn:cite:botcar:family.Berberidaceae
urn:cite:botcar:genus.Podostemum	urn:cite:botcar:family.Podostemaceae
urn:cite:botcar:genus.Polygala	urn:cite:botcar:family.Polygalaceae
urn:cite:botcar:genus.Polygonatum	urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Polypremum	urn:cite:botcar:family.Tetrachondraceae
urn:cite:botcar:genus.Polystichum	urn:cite:botcar:family.Dryopteridaceae
urn:cite:botcar:genus.Polytrichum	urn:cite:botcar:family.Polytrichaceae
urn:cite:botcar:genus.Pontederia	urn:cite:botcar:family.Pontederiaceae
urn:cite:botcar:genus.Populus	urn:cite:botcar:family.Salicaceae
urn:cite:botcar:genus.Prenanthes	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Prunella	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Prunus	urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Pseudognaphalium	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Ptelea	urn:cite:botcar:family.Rutaceae
urn:cite:botcar:genus.Ptilimnium	urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Pycnanthemum	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Quercus	urn:cite:botcar:family.Fagaceae
urn:cite:botcar:genus.Rhexia	urn:cite:botcar:family.Melastomataceae
urn:cite:botcar:genus.Rhynchosia	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Rhynchospora	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Rubus	urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Rudbeckia	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Sabatia	urn:cite:botcar:family.Gentianaceae
urn:cite:botcar:genus.Saccharum	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Salvia	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Sarracenia	urn:cite:botcar:family.Sarraceniaceae
urn:cite:botcar:genus.Saururus	urn:cite:botcar:family.Saururaceae
urn:cite:botcar:genus.Scirpus	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Scutellaria	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Selaginella	urn:cite:botcar:family.Selaginellaceae
urn:cite:botcar:genus.Senna	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Sericocarpus	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Setaria	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Seymeria	urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Sida	urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Silene	urn:cite:botcar:family.Caryophyllaceae
urn:cite:botcar:genus.Silphium	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Smallanthus	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Smilax	urn:cite:botcar:family.Smilacaceae
