familyURN,label,familyName,tsn
urn:cite:botcar:family.Orchidaceae,"*Orchidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Orchidaceae,tsn:43397
urn:cite:botcar:family.Orobanchaceae,"*Orobanchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Orobanchaceae,tsn:34267
urn:cite:botcar:family.Orobanchaceaenchaceae,"*Orobanchaceaenchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Orobanchaceaenchaceae,"tsn: to be added"
urn:cite:botcar:family.Osmundaceae,"*Osmundaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Osmundaceae,tsn:17216
urn:cite:botcar:family.Plantaginaceae,"*Plantaginaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Plantaginaceae,tsn:32869
urn:cite:botcar:family.Platanaceae,"*Platanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Platanaceae,tsn:19018
urn:cite:botcar:family.Poaceae,"*Poaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Poaceae,tsn:40351
urn:cite:botcar:family.Podostemaceae,"*Podostemaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Podostemaceae,tsn:500071
urn:cite:botcar:family.Polemoniaceae,"*Polemoniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Polemoniaceae,tsn:30896
urn:cite:botcar:family.Polygalaceae,"*Polygalaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Polygalaceae,tsn:29301
urn:cite:botcar:family.Polygonaceae,"*Polygonaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Polygonaceae,tsn:20842
urn:cite:botcar:family.Polytrichaceae,"*Polytrichaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Polytrichaceae,tsn:15757
urn:cite:botcar:family.Pontederiaceae,"*Pontederiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Pontederiaceae,tsn:42614
urn:cite:botcar:family.Primulaceae,"*Primulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Primulaceae,tsn:23929
urn:cite:botcar:family.Ranunculaceae,"*Ranunculaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Ranunculaceae,tsn:18410
urn:cite:botcar:family.Rhamnaceae,"*Rhamnaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Rhamnaceae,tsn:28445
urn:cite:botcar:family.Rosaceae,"*Rosaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Rosaceae,tsn:24538
urn:cite:botcar:family.Rubiaceae,"*Rubiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Rubiaceae,tsn:34784
urn:cite:botcar:family.Ruscaceae,"*Ruscaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Ruscaceae,tsn:897541
urn:cite:botcar:family.Rutaceae,"*Rutaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Rutaceae,tsn:28848
urn:cite:botcar:family.Salicaceae,"*Salicaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Salicaceae,tsn:22443
urn:cite:botcar:family.Sapindaceae,"*Sapindaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Sapindaceae,tsn:28657
urn:cite:botcar:family.Sarraceniaceae,"*Sarraceniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Sarraceniaceae,tsn:21991
urn:cite:botcar:family.Saururaceae,"*Saururaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Saururaceae,tsn:18219
urn:cite:botcar:family.Selaginellaceae,"*Selaginellaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Selaginellaceae,tsn:17063
urn:cite:botcar:family.Smilacaceae,"*Smilacaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Smilacaceae,tsn:43339
urn:cite:botcar:family.Solanaceae,"*Solanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Solanaceae,tsn:30411
urn:cite:botcar:family.Styracaceae,"*Styracaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Styracaceae,tsn:23862
urn:cite:botcar:family.Tetrachondraceae,"*Tetrachondraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Tetrachondraceae,tsn:834074
urn:cite:botcar:family.Theaceae,"*Theaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Theaceae,tsn:21371
urn:cite:botcar:family.Thelypteridaceae,"*Thelypteridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Thelypteridaceae,tsn:500085
urn:cite:botcar:family.Tofieldiaceae,"*Tofieldiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Tofieldiaceae,tsn:810130
urn:cite:botcar:family.Trilliaceae,"*Trilliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Trilliaceae,"tsn: to be added"
urn:cite:botcar:family.Ulmaceae,"*Ulmaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Ulmaceae,tsn:19038
urn:cite:botcar:family.Urticaceae,"*Urticaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Urticaceae,tsn:19119
urn:cite:botcar:family.Verbenaceae,"*Verbenaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Verbenaceae,tsn:32064
urn:cite:botcar:family.Violaceae,"*Violaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Violaceae,tsn:22023
urn:cite:botcar:family.Vitaceae,"*Vitaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Vitaceae,tsn:28600
urn:cite:botcar:family.Xyridaceae,"*Xyridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Xyridaceae,tsn:39095
