familyURN	label	familyName	tsn
urn:cite:botcar:family.Orobanchaceae	*Orobanchaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Orobanchaceae	34267
urn:cite:botcar:family.Osmundaceae	*Osmundaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Osmundaceae	17216
urn:cite:botcar:family.Plantaginaceae	*Plantaginaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Plantaginaceae	32869
urn:cite:botcar:family.Platanaceae	*Platanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Platanaceae	19018
urn:cite:botcar:family.Poaceae	*Poaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Poaceae	40351
urn:cite:botcar:family.Podostemaceae	*Podostemaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Podostemaceae	500071
urn:cite:botcar:family.Polemoniaceae	*Polemoniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Polemoniaceae	30896
urn:cite:botcar:family.Polygalaceae	*Polygalaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Polygalaceae	29301
urn:cite:botcar:family.Polygonaceae	*Polygonaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Polygonaceae	20842
urn:cite:botcar:family.Polytrichaceae	*Polytrichaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Polytrichaceae	15757
urn:cite:botcar:family.Pontederiaceae	*Pontederiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Pontederiaceae	42614
urn:cite:botcar:family.Primulaceae	*Primulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Primulaceae	23929
urn:cite:botcar:family.Ranunculaceae	*Ranunculaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Ranunculaceae	18410
urn:cite:botcar:family.Rhamnaceae	*Rhamnaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Rhamnaceae	28445
urn:cite:botcar:family.Rosaceae	*Rosaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Rosaceae	24538
urn:cite:botcar:family.Rubiaceae	*Rubiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Rubiaceae	34784
urn:cite:botcar:family.Ruscaceae	*Ruscaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Ruscaceae	897541
urn:cite:botcar:family.Rutaceae	*Rutaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Rutaceae	28848
