speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Plucheafoetida,tsn:36062,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Pluchea,"Pluchea foetida (L.) A.P. de Candolle","**Pluchea foetida (L.) A.P. de Candolle**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Podophyllumpeltatum,tsn:18850,urn:cite:botcar:family.Berberidaceae,urn:cite:botcar:genus.Podophyllum,"Podophyllum peltatum L.","**Podophyllum peltatum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Podostemumceratophyllum,tsn:27031,urn:cite:botcar:family.Podostemaceae,urn:cite:botcar:genus.Podostemum,"Podostemum ceratophyllum Michx.","**Podostemum ceratophyllum Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalacruciata,tsn:29331,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala cruciata L.","**Polygala cruciata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalagrandiflora,tsn:29336,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala grandiflora Walter","**Polygala grandiflora Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalalutea,tsn:29348,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala lutea L.","**Polygala lutea L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalamariana,tsn:29303,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala mariana P. Miller","**Polygala mariana P. Miller**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalapolygama,tsn:29308,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala polygama Walter","**Polygala polygama Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygalaramosa,tsn:29309,urn:cite:botcar:family.Polygalaceae,urn:cite:botcar:genus.Polygala,"Polygala ramosa Elliott","**Polygala ramosa Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polygonatumbiflorum,tsn:43006,urn:cite:botcar:family.Ruscaceae,urn:cite:botcar:genus.Polygonatum,"Polygonatum biflorum (Walter) Elliott","**Polygonatum biflorum (Walter) Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polypremumprocumbens,tsn:29959,urn:cite:botcar:family.Tetrachondraceae,urn:cite:botcar:genus.Polypremum,"Polypremum procumbens L.","**Polypremum procumbens L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polystichumacrostichoides,tsn:17675,urn:cite:botcar:family.Dryopteridaceae,urn:cite:botcar:genus.Polystichum,"Polystichum acrostichoides (Michaux) Schott","**Polystichum acrostichoides (Michaux) Schott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Polytrichumcommune,tsn:15759,urn:cite:botcar:family.Polytrichaceae,urn:cite:botcar:genus.Polytrichum,"Polytrichum commune Hedw.","**Polytrichum commune Hedw.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
