genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Chrysopsis,Chrysopsis,*Chrysopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:202494,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Cicuta,Cicuta,*Cicuta*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29455,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Clematis,Clematis,*Clematis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18685,urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Clethra,Clethra,*Clethra*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23453,urn:cite:botcar:family.Clethraceae
urn:cite:botcar:genus.Cnidoscolus,Cnidoscolus,*Cnidoscolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28254,urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Cocculus,Cocculus,*Cocculus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18863,urn:cite:botcar:family.Menispermaceae
urn:cite:botcar:genus.Coelorachis,Coelorachis,*Coelorachis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41580,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Collinsonia,Collinsonia,*Collinsonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32473,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Commelina,Commelina,*Commelina*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39126,urn:cite:botcar:family.Commelinaceae
urn:cite:botcar:genus.Coreopsis,Coreopsis,*Coreopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37123,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Cornus,Cornus,*Cornus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27798,urn:cite:botcar:family.Cornaceae
urn:cite:botcar:genus.Ctenium,Ctenium,*Ctenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41606,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Cyperus,Cyperus,*Cyperus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39882,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Cyrilla,Cyrilla,*Cyrilla*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23448,urn:cite:botcar:family.Cyrillaceae
urn:cite:botcar:genus.Dalea,Dalea,*Dalea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26597,urn:cite:botcar:family.Fabaceae
