URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.54	indet.	Indet.	indet.	Joseph Lord, Specimen 54	null	null	1704-06-13	urn:cite:botcar:LordFolios.HS268_45	urn:cite:fufolioimg:BotCarLord.Lord_HS268_045_2285@0.1552,0.0093,0.6086,0.8714
urn:cite:botcar:lordSpecimens.55	37945	_Liatris squarrosa_ (L.) Michaux	urn:cite:botcar:species.Liatrissquarrosa	Joseph Lord, Specimen 55	urn:cite:botcar:genus.Liatris	urn:cite:botcar:family.Asteraceae	1704-10-04	urn:cite:botcar:LordFolios.HS268_47	urn:cite:fufolioimg:BotCarLord.Lord_HS268_047_2288@0.0661,0.0278,0.7147,0.9304
urn:cite:botcar:lordSpecimens.56	36620	_Helianthus atrorubens_ L.	urn:cite:botcar:species.Helianthusatrorubens	Joseph Lord, Specimen 56	urn:cite:botcar:genus.Helianthus	urn:cite:botcar:family.Asteraceae	1704-09-06	urn:cite:botcar:LordFolios.HS268_49	urn:cite:fufolioimg:BotCarLord.Lord_HS268_049_2289@0.0961,0.0358,0.7207,0.8933
urn:cite:botcar:lordSpecimens.57	38387	_Silphium asteriscus_ L.	urn:cite:botcar:species.Silphiumasteriscus	Joseph Lord, Specimen 57	urn:cite:botcar:genus.Silphium	urn:cite:botcar:family.Asteraceae	1704-06-15	urn:cite:botcar:LordFolios.HS268_51	urn:cite:fufolioimg:BotCarLord.Lord_HS268_051_2291@0.0701,0.0318,0.7457,0.9112
urn:cite:botcar:lordSpecimens.58	36690	_Helianthus strumosus_ L.	urn:cite:botcar:species.Helianthusstrumosus	Joseph Lord, Specimen 58	urn:cite:botcar:genus.Helianthus	urn:cite:botcar:family.Asteraceae	1704-09-06	urn:cite:botcar:LordFolios.HS268_53	urn:cite:fufolioimg:BotCarLord.Lord_HS268_053_2292@0.1471,0.0159,0.7127,0.9066
urn:cite:botcar:lordSpecimens.59	37605	_Heliopsis helianthoides_ (L.) Sweet var. _gracilis_ (Nuttall) Gandhi & Thomas	urn:cite:botcar:species.Heliopsishelianthoides	Joseph Lord, Specimen 59	urn:cite:botcar:genus.Heliopsis	urn:cite:botcar:family.Asteraceae	1704-09-06	urn:cite:botcar:LordFolios.HS268_55	urn:cite:fufolioimg:BotCarLord.Lord_HS268_055_2293@0.041,0.0172,0.7728,0.9695
urn:cite:botcar:lordSpecimens.60	37134	_Coreopsis gladiata_ Walter	urn:cite:botcar:species.Coreopsisgladiata	Joseph Lord, Specimen 60	urn:cite:botcar:genus.Coreopsis	urn:cite:botcar:family.Asteraceae	1704-09-29	urn:cite:botcar:LordFolios.HS268_57	urn:cite:fufolioimg:BotCarLord.Lord_HS268_057_2295@0.0521,0.0199,0.6887,0.8655
urn:cite:botcar:lordSpecimens.61	36765	_Rudbeckia hirta_ L.	urn:cite:botcar:species.Rudbeckiahirta	Joseph Lord, Specimen 61	urn:cite:botcar:genus.Rudbeckia	urn:cite:botcar:family.Asteraceae	1704-06-15	urn:cite:botcar:LordFolios.HS268_59	urn:cite:fufolioimg:BotCarLord.Lord_HS268_059_2296@0.0891,0.0464,0.6917,0.894
urn:cite:botcar:lordSpecimens.62	38093	_Melanthera nivea_ (L.) Small	urn:cite:botcar:species.Melantheranivea	Joseph Lord, Specimen 62	urn:cite:botcar:genus.Melanthera	urn:cite:botcar:family.Asteraceae	1704-08-04	urn:cite:botcar:LordFolios.HS268_61	urn:cite:fufolioimg:BotCarLord.Lord_HS268_061_2298@0.0671,0.051,0.7047,0.9099
urn:cite:botcar:lordSpecimens.63	25097	_Agrimonia microcarpa_ Wallroth	urn:cite:botcar:species.Agrimoniamicrocarpa	Joseph Lord, Specimen 63	urn:cite:botcar:genus.Agrimonia	urn:cite:botcar:family.Rosaceae	1704-09-06	urn:cite:botcar:LordFolios.HS268_63	urn:cite:fufolioimg:BotCarLord.Lord_HS268_063_2300@0.001,0.0159,0.7878,0.9516
urn:cite:botcar:lordSpecimens.64	523178	_Verbena carnea_ Medikus = _Stylodon carneus_ (Medik.) Moldenke	urn:cite:botcar:species.Verbenacarnea	Joseph Lord, Specimen 64	urn:cite:botcar:genus.Verbena	urn:cite:botcar:family.Verbenaceae	1704-07-13	urn:cite:botcar:LordFolios.HS268_65	urn:cite:fufolioimg:BotCarLord.Lord_HS268_065_2301@0.0821,0.0212,0.7327,0.945
urn:cite:botcar:lordSpecimens.65	18671	_Thalictrum macrostylum_ Small & Heller	urn:cite:botcar:species.Thalictrummacrostylum	Joseph Lord, Specimen 65	urn:cite:botcar:genus.Thalictrum	urn:cite:botcar:family.Ranunculaceae	1704-05-03	urn:cite:botcar:LordFolios.HS268_67	urn:cite:fufolioimg:BotCarLord.Lord_HS268_067_2303@0.044,0.0411,0.8108,0.9364
urn:cite:botcar:lordSpecimens.66	32381	_Prunella vulgaris_ L. var. _lanceolata_ (W. Barton) Fernald	urn:cite:botcar:species.Prunellavulgaris	Joseph Lord, Specimen 66	urn:cite:botcar:genus.Prunella	urn:cite:botcar:family.Lamiaceae	1704-05-19	urn:cite:botcar:LordFolios.HS268_69	urn:cite:fufolioimg:BotCarLord.Lord_HS268_069_2305@0.041,0.0318,0.4715,0.9072
urn:cite:botcar:lordSpecimens.67	29890	_Thaspium trifoliatum_ (L.) A. Gray	urn:cite:botcar:species.Thaspiumtrifoliatum	Joseph Lord, Specimen 67	urn:cite:botcar:genus.Thaspium	urn:cite:botcar:family.Apiaceae	1704-05-01	urn:cite:botcar:LordFolios.HS268_69	urn:cite:fufolioimg:BotCarLord.Lord_HS268_069_2305@0.4404,0.0623,0.3824,0.841
urn:cite:botcar:lordSpecimens.68	32660	_Pycnanthemum flexuosum_ (Walter) BSP	urn:cite:botcar:species.Pycnanthemumflexuosum	Joseph Lord, Specimen 68	urn:cite:botcar:genus.Pycnanthemum	urn:cite:botcar:family.Lamiaceae	1704-09-29	urn:cite:botcar:LordFolios.HS268_71	urn:cite:fufolioimg:BotCarLord.Lord_HS268_071_2307@0.1031,0.0278,0.7307,0.9006
urn:cite:botcar:lordSpecimens.69	32660	_Pycnanthemum flexuosum_ (Walter) BSP	urn:cite:botcar:species.Pycnanthemumflexuosum	Joseph Lord, Specimen 69	urn:cite:botcar:genus.Pycnanthemum	urn:cite:botcar:family.Lamiaceae	1704-06-13	urn:cite:botcar:LordFolios.HS268_73	urn:cite:fufolioimg:BotCarLord.Lord_HS268_073_2308@0.2382,0.0172,0.6657,0.9576
urn:cite:botcar:lordSpecimens.70	32801	_Scutellaria integrifolia_ L.	urn:cite:botcar:species.Scutellariaintegrifolia	Joseph Lord, Specimen 70	urn:cite:botcar:genus.Scutellaria	urn:cite:botcar:family.Lamiaceae	1704-06-07	urn:cite:botcar:LordFolios.HS268_75	urn:cite:fufolioimg:BotCarLord.Lord_HS268_075_2309@0.2462,0.051,0.6106,0.8516
urn:cite:botcar:lordSpecimens.71	18694	_Clematis crispa_ L.	urn:cite:botcar:species.Clematiscrispa	Joseph Lord, Specimen 71	urn:cite:botcar:genus.Clematis	urn:cite:botcar:family.Ranunculaceae	1704-06-05	urn:cite:botcar:LordFolios.HS268_77	urn:cite:fufolioimg:BotCarLord.Lord_HS268_077_2310@0.0671,0.0716,0.7838,0.8065
