URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.10	33490	_Aureolaria virginica_ (L.) Pennell	urn:cite:botcar:species.Aureolariavirginica	Joseph Lord, Specimen 10	urn:cite:botcar:genus.Aureolaria	urn:cite:botcar:family.Orobanchaceae	none	urn:cite:botcar:LordFolios.HS158_245	urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.1371,0.0855,0.7287,0.3605
urn:cite:botcar:lordSpecimens.11	indet.	indet.	indet.	Joseph Lord, Specimen 11	null	null	none	urn:cite:botcar:LordFolios.HS158_245	urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.1421,0.5586,0.4795,0.2472
urn:cite:botcar:lordSpecimens.12	34027	_Schwalbea americana_ L.	urn:cite:botcar:species.Schwalbeaamericana	Joseph Lord, Specimen 12	urn:cite:botcar:genus.Schwalbea	urn:cite:botcar:family.Orobanchaceae	none	urn:cite:botcar:LordFolios.HS158_245	urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.5786,0.4208,0.1532,0.5103
urn:cite:botcar:lordSpecimens.13	43428	_Platanthera integra_ (Nuttall) A. Gray ex. Beck	urn:cite:botcar:species.Platantheraintegra	Joseph Lord, Specimen 13	urn:cite:botcar:genus.Platanthera	urn:cite:botcar:family.Orchidaceae	none	urn:cite:botcar:LordFolios.HS159_028	urn:cite:fufolioimg:BotCarLord.Lord_HS159_028_2383@0.0951,0.0848,0.4424,0.8197
urn:cite:botcar:lordSpecimens.14	43424	_Platanthera cristata_ (Michaux) Lindley	urn:cite:botcar:species.Platantheracristata	Joseph Lord, Specimen 14	urn:cite:botcar:genus.Platanthera	urn:cite:botcar:family.Orchidaceae	none	urn:cite:botcar:LordFolios.HS159_028	urn:cite:fufolioimg:BotCarLord.Lord_HS159_028_2383@0.5475,0.0981,0.4064,0.7906
urn:cite:botcar:lordSpecimens.15	23731	_Rhododendron viscosum_ (L.) Torrey	urn:cite:botcar:species.Rhododendronviscosum	Joseph Lord, Specimen 15	urn:cite:botcar:genus.Rhododendron	urn:cite:botcar:family.Ericaceae	none	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.0631,0.0749,0.2953,0.5056
urn:cite:botcar:lordSpecimens.16	indet.	_Rhododendron_ sp.	indet.	Joseph Lord, Specimen 16	urn:cite:botcar:genus.Rhododendron	urn:cite:botcar:family.Ericaceae	1699-06-24	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.5175,0.0994,0.3894,0.3287
urn:cite:botcar:lordSpecimens.17	23564	_Lyonia mariana_ (L.) D. Don	urn:cite:botcar:species.Lyoniamariana	Joseph Lord, Specimen 17	urn:cite:botcar:genus.Lyonia	urn:cite:botcar:family.Ericaceae	none	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.1632,0.5215,0.3163,0.1703
urn:cite:botcar:lordSpecimens.18	23704	_Rhododendron atlanticum_ (Ashe) Rehder	urn:cite:botcar:species.Rhododendronatlanticum	Joseph Lord, Specimen 18	urn:cite:botcar:genus.Rhododendron	urn:cite:botcar:family.Ericaceae	none	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.2322,0.4751,0.5806,0.4314
urn:cite:botcar:lordSpecimens.19	indet.	indet.	indet.	Joseph Lord, Specimen 19	null	null	none	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.5886,0.727,0.2673,0.1803
