speciesURN	tsn	familyURN	genusURN	scientificName	label
urn:cite:botcar:species.Cnidoscolusstimulosus	28256	urn:cite:botcar:family.Euphorbiaceae	urn:cite:botcar:genus.Cnidoscolus	Cnidoscolus stimulosus (Michaux) Engelmann and A. Gray	**Cnidoscolus stimulosus (Michaux) Engelmann and A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cocculuscarolinus	18864	urn:cite:botcar:family.Menispermaceae	urn:cite:botcar:genus.Cocculus	Cocculus carolinus (L.) DC., A.P. deCandolle	**Cocculus carolinus (L.) DC., A.P. deCandolle**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Coelorachisrugosa	41582	urn:cite:botcar:family.Poaceae	urn:cite:botcar:genus.Coelorachis	Coelorachis rugosa (Nutt.) Nash	**Coelorachis rugosa (Nutt.) Nash**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Collinsoniacanadensis	32474	urn:cite:botcar:family.Lamiaceae	urn:cite:botcar:genus.Collinsonia	Collinsonia canadensis L.	**Collinsonia canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Collinsoniatuberosa	32475	urn:cite:botcar:family.Lamiaceae	urn:cite:botcar:genus.Collinsonia	Collinsonia tuberosa Michx.	**Collinsonia tuberosa Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Commelinaerecta	39132	urn:cite:botcar:family.Commelinaceae	urn:cite:botcar:genus.Commelina	Commelina erecta L.	**Commelina erecta L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Conyzacanadensis	37113	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Conyza	Conyza canadensis (L.) Cronquist var. pusilla (Nuttall) Cronquist	**Conyza canadensis (L.) Cronquist var. pusilla (Nuttall) Cronquist**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Coreopsisdelphiniifolia	37129	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Coreopsis	Coreopsis delphiniifolia Lam.	**Coreopsis delphiniifolia Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Coreopsisgladiata	37134	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Coreopsis	Coreopsis gladiata Walter	**Coreopsis gladiata Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Coreopsislanceolata	37139	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Coreopsis	Coreopsis lanceolata L.	**Coreopsis lanceolata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Coreopsismajor	37143	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Coreopsis	Coreopsis major Walter var. major	**Coreopsis major Walter var. major**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cornusasperifolia	27815	urn:cite:botcar:family.Cornaceae	urn:cite:botcar:genus.Cornus	Cornus asperifolia Michx.	**Cornus asperifolia Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cornusflorida	27806	urn:cite:botcar:family.Cornaceae	urn:cite:botcar:genus.Cornus	Cornus florida L.	**Cornus florida L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Crotalariarotundifolia	26578	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Crotalaria	Crotalaria rotundifolia Walter ex J.F. Gmelin	**Crotalaria rotundifolia Walter ex J.F. Gmelin**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cteniumaromaticum	41607	urn:cite:botcar:family.Poaceae	urn:cite:botcar:genus.Ctenium	Ctenium aromaticum (Walter) Alph. Wood	**Ctenium aromaticum (Walter) Alph. Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cuthbertiarosea	39141	urn:cite:botcar:family.Commelinaceae	urn:cite:botcar:genus.Cuthbertia	Cuthbertia rosea (Ventenat) Small	**Cuthbertia rosea (Ventenat) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cyclospermumleptophyllum	507572	urn:cite:botcar:family.Apiaceae	urn:cite:botcar:genus.Cyclospermum	Cyclospermum leptophyllum (Persoon) Sprague ex Britton & Wilson	**Cyclospermum leptophyllum (Persoon) Sprague ex Britton & Wilson**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cyperusechinatus	501920	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Cyperus	Cyperus echinatus (L.) Wood	**Cyperus echinatus (L.) Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cyperusvirens	39975	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Cyperus	Cyperus virens Michaux	**Cyperus virens Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Cyrillaracemiflora	23449	urn:cite:botcar:family.Cyrillaceae	urn:cite:botcar:genus.Cyrilla	Cyrilla racemiflora L.	**Cyrilla racemiflora L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Daleapinnata	26637	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Dalea	Dalea pinnata (J.F. Gmel.) Barneby	**Dalea pinnata (J.F. Gmel.) Barneby**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Delphiniumcarolinianum	18547	urn:cite:botcar:family.Ranunculaceae	urn:cite:botcar:genus.Delphinium	Delphinium carolinianum Walter	**Delphinium carolinianum Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Dendrolycopodiumobscurum	899165	urn:cite:botcar:family.Lycopodiaceae	urn:cite:botcar:genus.Dendrolycopodium	Dendrolycopodium obscurum (L.) A. Haines	**Dendrolycopodium obscurum (L.) A. Haines**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Desmodiumnuttallii	25813	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Desmodium	Desmodium nuttallii (Schindler) Schubert	**Desmodium nuttallii (Schindler) Schubert**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Dioscoreavillosa	43367	urn:cite:botcar:family.Dioscoreaceae	urn:cite:botcar:genus.Dioscorea	Dioscorea villosa L.	**Dioscorea villosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Diospyrosvirginiana	23855	urn:cite:botcar:family.Ebenaceae	urn:cite:botcar:genus.Diospyros	Diospyros virginiana L.	**Diospyros virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Dryopterisludoviciana	17540	urn:cite:botcar:family.Dryopteridaceae	urn:cite:botcar:genus.Dryopteris	Dryopteris ludoviciana (Kunze) Small	**Dryopteris ludoviciana (Kunze) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Dyschoristeoblongifolia	502194	urn:cite:botcar:family.Acanthaceae	urn:cite:botcar:genus.Dyschoriste	Dyschoriste oblongifolia (Michx.) Kuntze	**Dyschoriste oblongifolia (Michx.) Kuntze**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eleusineindica	41692	urn:cite:botcar:family.Poaceae	urn:cite:botcar:genus.Eleusine	Eleusine indica (L.) Gaertn.	**Eleusine indica (L.) Gaertn.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Endodecaserpentaria	534904	urn:cite:botcar:family.Aristolochiaceae	urn:cite:botcar:genus.Endodeca	Endodeca serpentaria (Linnaeus) Rafinesque	**Endodeca serpentaria (Linnaeus) Rafinesque**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Epifagusvirginiana	34276	urn:cite:botcar:family.Orobanchaceae	urn:cite:botcar:genus.Epifagus	Epifagus virginiana (Linnaeus) W. Barton	**Epifagus virginiana (Linnaeus) W. Barton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Erigeronquercifolius	35940	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Erigeron	Erigeron quercifolius Lam.	**Erigeron quercifolius Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
