SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.123,Catesby Specimen 123: Gaillardia aestivalis (Walter) H. Rock var. aestivalis,urn:cite:botcar:species.Gaillardiaaestivalis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537@0.332,0.0883,0.201,0.725"
urn:cite:botcar:sloane.128,Catesby Specimen 128: Symphyotrichum dumosum (L.) Nesom,urn:cite:botcar:species.Symphyotrichumdumosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537@0.518,0.185,0.32,0.626"
urn:cite:botcar:sloane.272,Catesby Specimen 272: Erigeron strigosus Muhlenberg ex Willdenow,urn:cite:botcar:species.Erigeronstrigosus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_127_0530,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_127_0530@0.429,0.137,0.376,0.688"
urn:cite:botcar:sloane.425,Catesby Specimen 425: Vernonia acaulis (Walter) Gleason,urn:cite:botcar:species.Vernoniaacaulis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_130_0526,""
urn:cite:botcar:sloane.199,Catesby Specimen 199: Prenanthes serpentaria Pursh,urn:cite:botcar:species.Prenanthesserpentaria,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_134_0520,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_134_0520@0.432,0.129,0.488,0.692"
urn:cite:botcar:sloane.110,Catesby Specimen 110: Chrysogonum virginianum L.,urn:cite:botcar:species.Chrysogonumvirginianum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495@0.122,0.0774,0.423,0.237"
urn:cite:botcar:sloane.395,Catesby Specimen 395: Silphium asteriscus L.,urn:cite:botcar:species.Silphiumasteriscus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492@0.0893,0.0675,0.228,0.699"
urn:cite:botcar:sloane.307,Catesby Specimen 307: Eupatorium purpureum L. var. purpureum,urn:cite:botcar:species.Eupatoriumpurpureum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_028_0631,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_028_0631@0.204,0.144,0.351,0.661"
urn:cite:botcar:sloane.346,Catesby Specimen 346: Coreopsis delphiniifolia Lam.,urn:cite:botcar:species.Coreopsisdelphiniifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_029_0624,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_029_0624@0.546,0.177,0.249,0.592"
urn:cite:botcar:sloane.134,Catesby Specimen 134: Helenium flexuosum Raf.,urn:cite:botcar:species.Heleniumflexuosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_029_0624,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_029_0624@0.217,0.177,0.356,0.599"
urn:cite:botcar:sloane.367,Catesby Specimen 367: Carphephorus carnosus (Small) C.W. James,urn:cite:botcar:species.Carphephoruscarnosus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623@0.753,0.282,0.11,0.43"
