"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Onosmodiumvirginianum","Onosmodium virginianum (Linnaeus) A. DC.",31969
"urn:cite:botcar:species.Orbexilumpedunculatum","Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely",504048
"urn:cite:botcar:species.Osmanthusamericanus","Osmanthus americanus (L.) Benth. & Hook. f. ex A. Gray",32992
"urn:cite:botcar:species.Osmorhizalongistylis","Osmorhiza longistylis (Torr.) A.P. de Candolle",29791
"urn:cite:botcar:species.Osmundaregalis","Osmunda regalis L.",17218
"urn:cite:botcar:species.Ostryavirginiana","Ostrya virginiana?",to be added
"urn:cite:botcar:species.Oxydendrumarboreum","Oxydendrum arboreum (Linnaeus) A.P. de Candolle",23690
"urn:cite:botcar:species.Paspalumfloridanum","Paspalum floridanum Michaux",40992
"urn:cite:botcar:species.Pediculariscanadensis","Pedicularis canadensis L.",33362
"urn:cite:botcar:species.Pediomelumcanescens","Pediomelum canescens (Michx.) Rydb.",504172
"urn:cite:botcar:species.Perseaborbonia","Persea borbonia (Linnaeus) Sprengel",18149
"urn:cite:botcar:species.Perseapalustris","Persea palustris (Rafinesque) Sargent",504254
"urn:cite:botcar:species.Persicariavirginiana","Persicaria virginiana (Linnaeus) Gaertner",518755
"urn:cite:botcar:species.Phalariscaroliniana","Phalaris caroliniana Walter",41343
"urn:cite:botcar:species.Phaseoluspolystachios","Phaseolus polystachios (L.) BSP",504291
"urn:cite:botcar:species.Phegopterishexagonoptera","Phegopteris hexagonoptera (Michaux) F_e",504296
"urn:cite:botcar:species.Philadelphusinodorus","Philadelphus inodorus L.",24429
"urn:cite:botcar:species.Phleumarenarium","Phleum arenarium?",to be added
"urn:cite:botcar:species.Phloxamoena","Phlox amoena Sims",30910
"urn:cite:botcar:species.Phylanodiflora","Phyla nodiflora (L.) Greene",32197
"urn:cite:botcar:species.Physalisangulata","Physalis angulata L.",30590
"urn:cite:botcar:species.Physostegiapurpurea","Physostegia purpurea (Walter) Blake",32397
"urn:cite:botcar:species.Pityopsisgraminifolia","Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers",196349
"urn:cite:botcar:species.Platantheraciliaris","Platanthera ciliaris (L.) Lindl.",43413
"urn:cite:botcar:species.Platantheraintegra","Platanthera integra (Nutt.) A. Gray ex Beck",43428
"urn:cite:botcar:species.Platanusoccidentalis","Platanus occidentalis L.",19020
"urn:cite:botcar:species.Plucheafoetida","Pluchea foetida (L.) A.P. de Candolle",36062
"urn:cite:botcar:species.Podophyllumpeltatum","Podophyllum peltatum L.",18850
"urn:cite:botcar:species.Podostemumceratophyllum","Podostemum ceratophyllum Michx.",27031
"urn:cite:botcar:species.Polygalacruciata","Polygala cruciata L.",29331
"urn:cite:botcar:species.Polygalagrandiflora","Polygala grandiflora Walter",29336
"urn:cite:botcar:species.Polygalalutea","Polygala lutea L.",29348
"urn:cite:botcar:species.Polygalamariana","Polygala mariana P. Miller",29303
"urn:cite:botcar:species.Polygalapolygama","Polygala polygama Walter",29308
"urn:cite:botcar:species.Polygalaramosa","Polygala ramosa Elliott",29309
"urn:cite:botcar:species.Polygonatumbiflorum","Polygonatum biflorum (Walter) Elliott",43006
"urn:cite:botcar:species.Polypremumprocumbens","Polypremum procumbens L.",29959
"urn:cite:botcar:species.Polystichumacrostichoides","Polystichum acrostichoides (Michaux) Schott",17675
"urn:cite:botcar:species.Polytrichumcommune","Polytrichum commune Hedw.",15759
"urn:cite:botcar:species.Pontederiacordata","Pontederia cordata Linnaeus var. lancifolia (Muhlenberg ex Elliott) Torrey",42620
"urn:cite:botcar:species.Populusdeltoides","Populus deltoides Bartram ex Marsh.",22445
"urn:cite:botcar:species.Populusheterophylla","Populus heterophylla L.",22465
"urn:cite:botcar:species.Prenanthesautumnalis","Prenanthes autumnalis Walter",38275
"urn:cite:botcar:species.Prenanthesserpentaria","Prenanthes serpentaria Pursh",38286
"urn:cite:botcar:species.Prunellavulgaris","Prunella vulgaris Linnaeus var. lanceolata (W. Barton) Fernald",32381
"urn:cite:botcar:species.Prunuscaroliniana","Prunus caroliniana Aiton",24771
"urn:cite:botcar:species.Prunusumbellata","Prunus umbellata Elliott",24805
"urn:cite:botcar:species.Pseudognaphaliumobtusifolium","Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt",507657
