"specimenURN","name"
"urn:cite:botcar:sloane.108","Catesby Specimen 108: Senna occidentalis (L.) Link"
"urn:cite:botcar:sloane.280","Catesby Specimen 280: Indigofera tinctoria L."
"urn:cite:botcar:sloane.328","Catesby Specimen 328: Mimosa quadrivalvis L."
"urn:cite:botcar:sloane.335","Catesby Specimen 335: Baptisia tinctoria (L.) Ventenat"
"urn:cite:botcar:sloane.405","Catesby Specimen 405: Galactia regularis (L.) Britton"
"urn:cite:botcar:sloane.311","Catesby Specimen 311: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely"
"urn:cite:botcar:sloane.304","Catesby Specimen 304: Stylosanthes biflora (Linnaeus) Britton"
"urn:cite:botcar:sloane.28","Catesby Specimen 28: Tephrosia spicata (Walter) Torrey & A. Gray"
"urn:cite:botcar:sloane.193","Catesby Specimen 193: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely"
"urn:cite:botcar:sloane.88","Catesby Specimen 88: Apios americana Medikus"
"urn:cite:botcar:sloane.292","Catesby Specimen 292: Cercis canadensis L."
"urn:cite:botcar:sloane.157","Catesby Specimen 157: Baptisia bracteata Elliott"
"urn:cite:botcar:sloane.407","Catesby Specimen 407: Orbexilum pedunculatum (P. Miller) Rydberg var. psoralioides (Walter) Isely"
"urn:cite:botcar:sloane.18","Catesby Specimen 18: Baptisia tinctoria (L.) Ventenat"
"urn:cite:botcar:sloane.38","Catesby Specimen 38: Tephrosia spicata (Walter) Torr. & A. Gray"
"urn:cite:botcar:sloane.201","Catesby Specimen 201: Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill"
"urn:cite:botcar:sloane.12","Catesby Specimen 12: Pediomelum canescens (Michx.) Rydb."
"urn:cite:botcar:sloane.223","Catesby Specimen 223: Phaseolus polystachios (L.) BSP"
"urn:cite:botcar:sloane.329","Catesby Specimen 329: Pediomelum canescens (Michx.) Rydb."
"urn:cite:botcar:sloane.206","Catesby Specimen 206: Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely"
"urn:cite:botcar:sloane.299","Catesby Specimen 299: Chamaecrista nictitans (Michx.) Greene"
"urn:cite:botcar:sloane.145","Catesby Specimen 145: Baptisia albescens Small"
"urn:cite:botcar:sloane.39","Catesby Specimen 39: Baptisia albescens Small"
"urn:cite:botcar:sloane.320","Catesby Specimen 320: Tephrosia virginiana (L.) Pers."
"urn:cite:botcar:sloane.86","Catesby Specimen 86: Lupinus diffusus Nutt."
"urn:cite:botcar:sloane.321","Catesby Specimen 321: Lupinus villosus Willd."
"urn:cite:botcar:sloane.10","Catesby Specimen 10: Astragalus michauxii (Kuntze) F.J. Herm."
"urn:cite:botcar:sloane.424","Catesby Specimen 424: Baptisia perfoliata (L.) R. Br."
"urn:cite:botcar:sloane.124","Catesby Specimen 124: Gleditsia aquatica Marsh."
"urn:cite:botcar:sloane.116","Catesby Specimen 116: Astragalus michauxii (Kuntze) F.J. Herm."
"urn:cite:botcar:sloane.141","Catesby Specimen 141: Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely"
"urn:cite:botcar:sloane.188","Catesby Specimen 188: Amorpha glabra Desf. ex Poir."
"urn:cite:botcar:sloane.194","Catesby Specimen 194: Amorpha herbacea Walter"
"urn:cite:botcar:sloane.413","Catesby Specimen 413: Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill"
"urn:cite:botcar:sloane.202","Catesby Specimen 202: Baptisia perfoliata (L.) R. Br."
"urn:cite:botcar:sloane.244","Catesby Specimen 244: Senna occidentalis (L.) Link"
"urn:cite:botcar:sloane.225","Catesby Specimen 225: Rhynchosia tomentosa (Linnaeus) Hooker & Arnott"
"urn:cite:botcar:sloane.155","Catesby Specimen 155: Dalea pinnata (J.F. Gmel.) Barneby"
"urn:cite:botcar:sloane.364","Catesby Specimen 364: Galactia volubilis (L.) Britton"
"urn:cite:botcar:sloane.366","Catesby Specimen 366: Lespedeza virginica (L.) Britton"
"urn:cite:botcar:sloane.8","Catesby Specimen 8: Quercus michauxii Nutt."
"urn:cite:botcar:sloane.21","Catesby Specimen 21: Castanea pumila (L.) Mill"
"urn:cite:botcar:sloane.391","Catesby Specimen 391: Quercus michauxii Nutt."
"urn:cite:botcar:sloane.342","Catesby Specimen 342: Quercus phellos L."
"urn:cite:botcar:sloane.383","Catesby Specimen 383: Quercus incana Bartram"
"urn:cite:botcar:sloane.4","Catesby Specimen 4: Quercus laevis Walter"
"urn:cite:botcar:sloane.175","Catesby Specimen 175: Quercus virginiana Mill."
"urn:cite:botcar:sloane.268","Catesby Specimen 268: Quercus laevis Walter"
"urn:cite:botcar:sloane.233","Catesby Specimen 233: Quercus alba L."
"urn:cite:botcar:sloane.239","Catesby Specimen 239: Quercus marilandica Muenchh."
"urn:cite:botcar:sloane.420","Catesby Specimen 420: Quercus nigra L."
"urn:cite:botcar:sloane.55","Catesby Specimen 55: Quercus phellos L."
"urn:cite:botcar:sloane.373","Catesby Specimen 373: Sabatia difformis (Linnaeus) Druce"
"urn:cite:botcar:sloane.125","Catesby Specimen 125: Sabatia stellaris Pursh"
