speciesURN,scientificNameText,scientificNameFormatted,label,ipniID
urn:cite:botcar:species.Eriogonumtomentosum,Eriogonum tomentosum,Eriogonum tomentosum,Eriogonum tomentosum,"**Eriogonum tomentosum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eryngiumintegrifolium,Eryngium integrifolium Walter,Eryngium integrifolium Walter,Eryngium integrifolium Walter,"**Eryngium integrifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumcapillifolium,Eupatorium capillifolium (Lamarck) Small,Eupatorium capillifolium (Lamarck) Small,Eupatorium capillifolium (Lamarck) Small,"**Eupatorium capillifolium (Lamarck) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumcompositifolium,Eupatorium compositifolium Walter,Eupatorium compositifolium Walter,Eupatorium compositifolium Walter,"**Eupatorium compositifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumleucolepis,Eupatorium leucolepis (DC.) Torr. & A. Gray,Eupatorium leucolepis (DC.) Torr. & A. Gray,Eupatorium leucolepis (DC.) Torr. & A. Gray,"**Eupatorium leucolepis (DC.) Torr. & A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumperfoliatum,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,Eupatorium perfoliatum L.,"**Eupatorium perfoliatum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumpurpureum,Eupatorium purpureum L. var. purpureum,Eupatorium purpureum L. var. purpureum,Eupatorium purpureum L. var. purpureum,"**Eupatorium purpureum L. var. purpureum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eupatoriumserotinum,Eupatorium serotinum Michx.,Eupatorium serotinum Michx.,Eupatorium serotinum Michx.,"**Eupatorium serotinum Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Euthamiacaroliniana,Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton,Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton,Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton,"**Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Eutrochiumdubium,Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont,Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont,Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont,"**Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Fraxinuspennsylvanica,Fraxinus pennsylvanica Marsh.,Fraxinus pennsylvanica Marsh.,Fraxinus pennsylvanica Marsh.,"**Fraxinus pennsylvanica Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Fuirenabreviseta,Fuirena breviseta (Coville) Coville,Fuirena breviseta (Coville) Coville,Fuirena breviseta (Coville) Coville,"**Fuirena breviseta (Coville) Coville**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Fuirenasquarrosa,Fuirena squarrosa Michaux,Fuirena squarrosa Michaux,Fuirena squarrosa Michaux,"**Fuirena squarrosa Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
