LabelURN,Text,SpecimenURN,ImageURN,ROI
urn:cite:botcar:catesbyLabels.penLabel181.1,3. Serratula paniculata Mscr. 152,urn:cite:botcar:sloane.181,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,""
urn:cite:botcar:catesbyLabels.penLabel176.1,3. Serratula scariosa Linn.,urn:cite:botcar:sloane.176,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,""
urn:cite:botcar:catesbyLabels.penLabel216.1,3. Serratula speciosa Mscr. 153,urn:cite:botcar:sloane.216,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418,""
urn:cite:botcar:catesbyLabels.penLabel288.1,3. Thapsia trifoliata Linn. Mscr. 63; an Aralia spec.,urn:cite:botcar:sloane.288,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478,""
urn:cite:botcar:catesbyLabels.penLabel286.1,4 Asclepias glabrata Meyer 57,urn:cite:botcar:sloane.286,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
urn:cite:botcar:catesbyLabels.penLabel24.1,4 Eryngium foetidum Linn.,urn:cite:botcar:sloane.24,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456,""
urn:cite:botcar:catesbyLabels.penLabel160.1,4 Silene virginica Linn.,urn:cite:botcar:sloane.160,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,""
urn:cite:botcar:catesbyLabels.penLabel393.1,4. fr. H.S. 7A. 30,urn:cite:botcar:sloane.393,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505,""
urn:cite:botcar:catesbyLabels.penLabel367.1,4. Nelia eriocephala Mscr. 134 nov. gen.,urn:cite:botcar:sloane.367,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623,""
urn:cite:botcar:catesbyLabels.penLabel334.1,4. Shoenus glomeratus Linn.,urn:cite:botcar:sloane.334,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,""
urn:cite:botcar:catesbyLabels.penLabel352.1,4. Sida rhombifolia Linn.,urn:cite:botcar:sloane.352,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469,""
urn:cite:botcar:catesbyLabels.penLabel83.1,4. Tusilago integrifolia Mscr. 164,urn:cite:botcar:sloane.83,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,""
urn:cite:botcar:catesbyLabels.penLabel132.1,4. Viola angustifolia Mscr. 189,urn:cite:botcar:sloane.132,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477,""
urn:cite:botcar:catesbyLabels.penLabel259.1,5. Clethra alnifolia Linn.,urn:cite:botcar:sloane.259,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469,""
urn:cite:botcar:catesbyLabels.penLabel232.1,5. Vaccinium clavatum Mscr. 76,urn:cite:botcar:sloane.232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,""
urn:cite:botcar:catesbyLabels.penLabel372.1,Acer rubrum Linn,urn:cite:botcar:sloane.372,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_014_0498,""
urn:cite:botcar:catesbyLabels.penLabel246.1,Allium inodorum Ms.,urn:cite:botcar:sloane.246,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475,""
urn:cite:botcar:catesbyLabels.penLabel242.1,Aruba ovata Mscr 197 nov. gens,urn:cite:botcar:sloane.242,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_065_0592,""
urn:cite:botcar:catesbyLabels.penLabel324.1,Asclepias floridana Mscr. 57,urn:cite:botcar:sloane.324,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572,""
urn:cite:botcar:catesbyLabels.penLabel273.1,Asclepias nivea Linn.,urn:cite:botcar:sloane.273,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536,""
urn:cite:botcar:catesbyLabels.penLabel387.1,Bidens frondosa Linn.,urn:cite:botcar:sloane.387,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506,""
urn:cite:botcar:catesbyLabels.penLabel239.1,Black Oak Catesby T. 19,urn:cite:botcar:sloane.239,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_093_0567,""
urn:cite:botcar:catesbyLabels.penLabel105.1,Blake Wallnut,urn:cite:botcar:sloane.105,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_094_0560,""
urn:cite:botcar:catesbyLabels.penLabel166.1,Brunnickia cirrhosa Mscr. 96 nov. gen.,urn:cite:botcar:sloane.166,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_101_0553,""
urn:cite:botcar:catesbyLabels.penLabel47.1,Calycanthus floridus Linn. Spl. ed. 10 1066,urn:cite:botcar:sloane.47,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494,""
urn:cite:botcar:catesbyLabels.penLabel82.1,Campanula perfoliata Linn.,urn:cite:botcar:sloane.82,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474,""
urn:cite:botcar:catesbyLabels.penLabel388.1,Chironia angularis Linn.,urn:cite:botcar:sloane.388,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,""
urn:cite:botcar:catesbyLabels.penLabel190.1,Chrysocoma linifolia Mscr. 156,urn:cite:botcar:sloane.190,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434,""
urn:cite:botcar:catesbyLabels.penLabel192.1,Commelina virginica Linn.,urn:cite:botcar:sloane.192,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
urn:cite:botcar:catesbyLabels.penLabel412.1,Cornus florida Linn. Sp. Pl. 117,urn:cite:botcar:sloane.412,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503,""
urn:cite:botcar:catesbyLabels.penLabel402.1,Crinos villosus Inscr 69,urn:cite:botcar:sloane.402,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,""
urn:cite:botcar:catesbyLabels.penLabel231.1,Dogwood,urn:cite:botcar:sloane.231,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_089_0568,""
urn:cite:botcar:catesbyLabels.penLabel21.1,Fagus pumila Linn.,urn:cite:botcar:sloane.21,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_036_0622,""
urn:cite:botcar:catesbyLabels.penLabel409.1,Gnaphalium hirtum Mscr. 160,urn:cite:botcar:sloane.409,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,""
urn:cite:botcar:catesbyLabels.penLabel238.1,Hamamelis virginiana Linn. (in pencil: Sp. Pl. 124!),urn:cite:botcar:sloane.238,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501,""
urn:cite:botcar:catesbyLabels.penLabel364.1,Hedyglarum volubile Linn.,urn:cite:botcar:sloane.364,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414,""
urn:cite:botcar:catesbyLabels.penLabel262.1,Hypericum Lasianthus Linn. Sp. Pl. 783,urn:cite:botcar:sloane.262,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497,""
urn:cite:botcar:catesbyLabels.penLabel347.1,Impatiens americana Mscr. 190,urn:cite:botcar:sloane.347,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_074_0580,""
urn:cite:botcar:catesbyLabels.penLabel280.1,Indigofera tinctoria. 1061.1,urn:cite:botcar:sloane.280,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_106_0546,""
urn:cite:botcar:catesbyLabels.penLabel117.1,Juglans alba: Linn. Sp. Pl. 997,urn:cite:botcar:sloane.117,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509,""
urn:cite:botcar:catesbyLabels.penLabel243.1,Liquidambar styraciflua L.,urn:cite:botcar:sloane.243,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_079_0432,""
urn:cite:botcar:catesbyLabels.penLabel389.1,Liriodendron Tulipifera Linn.,urn:cite:botcar:sloane.389,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_080_0431,""
urn:cite:botcar:catesbyLabels.penLabel211.1,Lobelia laevigata Mscr 188,urn:cite:botcar:sloane.211,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,""
urn:cite:botcar:catesbyLabels.penLabel224.1,Lycopodium alopecuroides Linn.,urn:cite:botcar:sloane.224,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487,""
urn:cite:botcar:catesbyLabels.penLabel73.1,Menispermum canadense Linn.,urn:cite:botcar:sloane.73,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485,""
urn:cite:botcar:catesbyLabels.penLabel35.1,Monarda punctata Linn.,urn:cite:botcar:sloane.35,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,""
