genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Gleditsia,Gleditsia,urn:cite:botcar:family.Fabaceae,to be added,*Gleditsia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Gordonia,Gordonia,urn:cite:botcar:family.Theaceae,to be added,*Gordonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Habenaria,Habenaria,urn:cite:botcar:family.Orchidaceae,to be added,*Habenaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hamamelis,Hamamelis,urn:cite:botcar:family.Hamamelidaceae,to be added,*Hamamelis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Helenium,Helenium,urn:cite:botcar:family.Asteraceae,to be added,*Helenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Helianthus,Helianthus,urn:cite:botcar:family.Asteraceae,to be added,*Helianthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Heliopsis,Heliopsis,urn:cite:botcar:family.Asteraceae,to be added,*Heliopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hibiscus,Hibiscus,urn:cite:botcar:family.Malvaceae,to be added,*Hibiscus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hydrangea,Hydrangea,urn:cite:botcar:family.Hydrangeaceae,to be added,*Hydrangea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hylodesmum,Hylodesmum,urn:cite:botcar:family.Fabaceae,to be added,*Hylodesmum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hypericum,Hypericum,urn:cite:botcar:family.Hypericaceae,to be added,*Hypericum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Hyptis,Hyptis,urn:cite:botcar:family.Lamiaceae,to be added,*Hyptis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
