familyURN,familyName,tsnID,label
urn:cite:botcar:family.Polygonaceae,Polygonaceae,to be added,*Polygonaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Polytrichaceae,Polytrichaceae,to be added,*Polytrichaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Pontederiaceae,Pontederiaceae,to be added,*Pontederiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Primulaceae,Primulaceae,to be added,*Primulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Ranunculaceae,Ranunculaceae,to be added,*Ranunculaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Rhamnaceae,Rhamnaceae,to be added,*Rhamnaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Rosaceae,Rosaceae,to be added,*Rosaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Rubiaceae,Rubiaceae,to be added,*Rubiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Ruscaceae,Ruscaceae,to be added,*Ruscaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Rutaceae,Rutaceae,to be added,*Rutaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Salicaceae,Salicaceae,to be added,*Salicaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Sapindaceae,Sapindaceae,to be added,*Sapindaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Sarraceniaceae,Sarraceniaceae,to be added,*Sarraceniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Saururaceae,Saururaceae,to be added,*Saururaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Selaginellaceae,Selaginellaceae,to be added,*Selaginellaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Smilacaceae,Smilacaceae,to be added,*Smilacaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Solanaceae,Solanaceae,to be added,*Solanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Styracaceae,Styracaceae,to be added,*Styracaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Tetrachondraceae,Tetrachondraceae,to be added,*Tetrachondraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Theaceae,Theaceae,to be added,*Theaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Thelypteridaceae,Thelypteridaceae,to be added,*Thelypteridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Tofieldiaceae,Tofieldiaceae,to be added,*Tofieldiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Trilliaceae,Trilliaceae,to be added,*Trilliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Ulmaceae,Ulmaceae,to be added,*Ulmaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Urticaceae,Urticaceae,to be added,*Urticaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Verbenaceae,Verbenaceae,to be added,*Verbenaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Violaceae,Violaceae,to be added,*Violaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Vitaceae,Vitaceae,to be added,*Vitaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Xyridaceae,Xyridaceae,to be added,*Xyridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
