SpecimenURN (Provisional)	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:17b_96	urn:cite2:fufolio:botcar.2017a:Michaux1895	17b	96	michx-Vol17b-96-23-03-37-29	Juglandaceae	Juglans olivaeformis	Carya illinoiensis					Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_97	urn:cite2:fufolio:botcar.2017a:Michaux1896	17b	97	michx-Vol17b-97-23-03-37-33	Juglandaceae	Juglans olivaeformis	Carya illinoiensis	in regione Illinoensi				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_98	urn:cite2:fufolio:botcar.2017a:Michaux1897	17b	98	michx-Vol17b-98-23-03-37-39	Juglandaceae	Juglans olivaeformis	Carya illinoiensis	Louisville au Kentucky 1793				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_99	urn:cite2:fufolio:botcar.2017a:Michaux1898	17b	99	michx-Vol17b-99-23-03-37-54	Juglandaceae	Juglans mucronata		Basse Caroline lieux aquatiques; in humidis slyvarum Virginiae, Carolinae	pignut			Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_bark	urn:cite2:fufolio:botcar.2017a:Michaux1825	17b	bark	michx-Vol17b-bark-23-03-24-06											
urn:cite2:botcar:michaux.2017a:17b_barka	urn:cite2:fufolio:botcar.2017a:Michaux1826	17b	barka	michx-Vol17b-barka-23-03-24-14											
urn:cite2:botcar:michaux.2017a:17b_barkb	urn:cite2:fufolio:botcar.2017a:Michaux1827	17b	barkb	michx-Vol17b-barkb-23-03-24-24											
urn:cite2:botcar:michaux.2017a:17b_cover	urn:cite2:fufolio:botcar.2017a:Michaux1775	17b	cover	michx-Vol17b-cover-23-03-15-13											
urn:cite2:botcar:michaux.2017a:18a_01	urn:cite2:fufolio:botcar.2017a:Michaux1920	18a	01	michx-Vol18a-1-23-03-47-19											
urn:cite2:botcar:michaux.2017a:18a_01a	urn:cite2:fufolio:botcar.2017a:Michaux1921	18a	01a	michx-Vol18a-1a-23-03-47-27											
urn:cite2:botcar:michaux.2017a:18a_01b	urn:cite2:fufolio:botcar.2017a:Michaux1922	18a	01b	michx-Vol18a-1b-23-03-47-34											
urn:cite2:botcar:michaux.2017a:18a_02	urn:cite2:fufolio:botcar.2017a:Michaux1923	18a	02	michx-Vol18a-2-23-03-47-43											
urn:cite2:botcar:michaux.2017a:18a_03	urn:cite2:fufolio:botcar.2017a:Michaux1924	18a	03	michx-Vol18a-3-23-03-47-55											
urn:cite2:botcar:michaux.2017a:18a_04	urn:cite2:fufolio:botcar.2017a:Michaux1925	18a	04	michx-Vol18a-4-23-03-48-05											
urn:cite2:botcar:michaux.2017a:18a_05	urn:cite2:fufolio:botcar.2017a:Michaux1926	18a	05	michx-Vol18a-5-23-03-48-15											
urn:cite2:botcar:michaux.2017a:18a_06	urn:cite2:fufolio:botcar.2017a:Michaux1927	18a	06	michx-Vol18a-6-23-03-48-31											
urn:cite2:botcar:michaux.2017a:18a_07	urn:cite2:fufolio:botcar.2017a:Michaux1928	18a	07	michx-Vol18a-7-23-03-48-41											
urn:cite2:botcar:michaux.2017a:18a_07a	urn:cite2:fufolio:botcar.2017a:Michaux1929	18a	07a	michx-Vol18a-7a-23-03-48-50											
urn:cite2:botcar:michaux.2017a:18a_08	urn:cite2:fufolio:botcar.2017a:Michaux1930	18a	08	michx-Vol18a-8-23-03-49-02											
urn:cite2:botcar:michaux.2017a:18a_08a	urn:cite2:fufolio:botcar.2017a:Michaux1931	18a	08a	michx-Vol18a-8a-23-03-49-18											
urn:cite2:botcar:michaux.2017a:18a_08b	urn:cite2:fufolio:botcar.2017a:Michaux1932	18a	08b	michx-Vol18a-8b-23-03-49-30											
urn:cite2:botcar:michaux.2017a:18a_09	urn:cite2:fufolio:botcar.2017a:Michaux1934	18a	09	michx-Vol18a-9-23-03-49-52											
urn:cite2:botcar:michaux.2017a:18a_10	urn:cite2:fufolio:botcar.2017a:Michaux1935	18a	10	michx-Vol18a-10-23-03-50-07											
urn:cite2:botcar:michaux.2017a:18a_11	urn:cite2:fufolio:botcar.2017a:Michaux1936	18a	11	michx-Vol18a-11-23-03-50-18											
urn:cite2:botcar:michaux.2017a:18a_12	urn:cite2:fufolio:botcar.2017a:Michaux1937	18a	12	michx-Vol18a-12-23-03-50-24											
urn:cite2:botcar:michaux.2017a:18a_13	urn:cite2:fufolio:botcar.2017a:Michaux1938	18a	13	michx-Vol18a-13-23-03-50-43											
urn:cite2:botcar:michaux.2017a:18a_14	urn:cite2:fufolio:botcar.2017a:Michaux1939	18a	14	michx-Vol18a-14-23-03-50-52											
urn:cite2:botcar:michaux.2017a:18a_15	urn:cite2:fufolio:botcar.2017a:Michaux1940	18a	15	michx-Vol18a-15-23-03-51-15											
